 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[1] PC=0x0000 A=0xFF HL=0x0000 BC=0x0000 DE=0x0000 SP=0xFFFF OP=0xF3
[2] PC=0x0001 A=0xFF HL=0x0000 BC=0x0000 DE=0x0000 SP=0xFFFF OP=0x01
[3] PC=0x0004 A=0xFF HL=0x0000 BC=0x692B DE=0x0000 SP=0xFFFF OP=0x0B
[4] PC=0x0005 A=0xFF HL=0x0000 BC=0x692A DE=0x0000 SP=0xFFFF OP=0x78
[5] PC=0x0006 A=0x69 HL=0x0000 BC=0x692A DE=0x0000 SP=0xFFFF OP=0xB1
[6] PC=0x0007 A=0x6B HL=0x0000 BC=0x692A DE=0x0000 SP=0xFFFF OP=0x20
[7] PC=0x0004 A=0x6B HL=0x0000 BC=0x692A DE=0x0000 SP=0xFFFF OP=0x0B
[8] PC=0x0005 A=0x6B HL=0x0000 BC=0x6929 DE=0x0000 SP=0xFFFF OP=0x78
[9] PC=0x0006 A=0x69 HL=0x0000 BC=0x6929 DE=0x0000 SP=0xFFFF OP=0xB1
[10] PC=0x0007 A=0x69 HL=0x0000 BC=0x6929 DE=0x0000 SP=0xFFFF OP=0x20
[11] PC=0x0004 A=0x69 HL=0x0000 BC=0x6929 DE=0x0000 SP=0xFFFF OP=0x0B
[12] PC=0x0005 A=0x69 HL=0x0000 BC=0x6928 DE=0x0000 SP=0xFFFF OP=0x78
[13] PC=0x0006 A=0x69 HL=0x0000 BC=0x6928 DE=0x0000 SP=0xFFFF OP=0xB1
[14] PC=0x0007 A=0x69 HL=0x0000 BC=0x6928 DE=0x0000 SP=0xFFFF OP=0x20
[15] PC=0x0004 A=0x69 HL=0x0000 BC=0x6928 DE=0x0000 SP=0xFFFF OP=0x0B
[16] PC=0x0005 A=0x69 HL=0x0000 BC=0x6927 DE=0x0000 SP=0xFFFF OP=0x78
[17] PC=0x0006 A=0x69 HL=0x0000 BC=0x6927 DE=0x0000 SP=0xFFFF OP=0xB1
[18] PC=0x0007 A=0x6F HL=0x0000 BC=0x6927 DE=0x0000 SP=0xFFFF OP=0x20
[19] PC=0x0004 A=0x6F HL=0x0000 BC=0x6927 DE=0x0000 SP=0xFFFF OP=0x0B
[20] PC=0x0005 A=0x6F HL=0x0000 BC=0x6926 DE=0x0000 SP=0xFFFF OP=0x78
[21] PC=0x0006 A=0x69 HL=0x0000 BC=0x6926 DE=0x0000 SP=0xFFFF OP=0xB1
[22] PC=0x0007 A=0x6F HL=0x0000 BC=0x6926 DE=0x0000 SP=0xFFFF OP=0x20
[23] PC=0x0004 A=0x6F HL=0x0000 BC=0x6926 DE=0x0000 SP=0xFFFF OP=0x0B
[24] PC=0x0005 A=0x6F HL=0x0000 BC=0x6925 DE=0x0000 SP=0xFFFF OP=0x78
[25] PC=0x0006 A=0x69 HL=0x0000 BC=0x6925 DE=0x0000 SP=0xFFFF OP=0xB1
[26] PC=0x0007 A=0x6D HL=0x0000 BC=0x6925 DE=0x0000 SP=0xFFFF OP=0x20
[27] PC=0x0004 A=0x6D HL=0x0000 BC=0x6925 DE=0x0000 SP=0xFFFF OP=0x0B
[28] PC=0x0005 A=0x6D HL=0x0000 BC=0x6924 DE=0x0000 SP=0xFFFF OP=0x78
[29] PC=0x0006 A=0x69 HL=0x0000 BC=0x6924 DE=0x0000 SP=0xFFFF OP=0xB1
[30] PC=0x0007 A=0x6D HL=0x0000 BC=0x6924 DE=0x0000 SP=0xFFFF OP=0x20
[31] PC=0x0004 A=0x6D HL=0x0000 BC=0x6924 DE=0x0000 SP=0xFFFF OP=0x0B
[32] PC=0x0005 A=0x6D HL=0x0000 BC=0x6923 DE=0x0000 SP=0xFFFF OP=0x78
[33] PC=0x0006 A=0x69 HL=0x0000 BC=0x6923 DE=0x0000 SP=0xFFFF OP=0xB1
[34] PC=0x0007 A=0x6B HL=0x0000 BC=0x6923 DE=0x0000 SP=0xFFFF OP=0x20
[35] PC=0x0004 A=0x6B HL=0x0000 BC=0x6923 DE=0x0000 SP=0xFFFF OP=0x0B
[36] PC=0x0005 A=0x6B HL=0x0000 BC=0x6922 DE=0x0000 SP=0xFFFF OP=0x78
[37] PC=0x0006 A=0x69 HL=0x0000 BC=0x6922 DE=0x0000 SP=0xFFFF OP=0xB1
[38] PC=0x0007 A=0x6B HL=0x0000 BC=0x6922 DE=0x0000 SP=0xFFFF OP=0x20
[39] PC=0x0004 A=0x6B HL=0x0000 BC=0x6922 DE=0x0000 SP=0xFFFF OP=0x0B
[40] PC=0x0005 A=0x6B HL=0x0000 BC=0x6921 DE=0x0000 SP=0xFFFF OP=0x78
